date,weekday,person,shift,start_hour,end_hour
2026-09-01,Tuesday,Lina,M,8,16
2026-09-01,Tuesday,Nuno,M,8,16
2026-09-02,Wednesday,Lina,M,8,16
2026-09-02,Wednesday,Nuno,M,8,16
2026-09-03,Thursday,Lina,M,8,16
2026-09-03,Thursday,Nuno,M,8,16
2026-09-04,Friday,Lina,M,8,16
2026-09-04,Friday,Nuno,M,8,16
2026-09-07,Monday,Angelo,M,8,16
2026-09-07,Monday,Nuno,M,8,16
2026-09-08,Tuesday,Lina,M,8,16
2026-09-08,Tuesday,Nuno,M,8,16
2026-09-09,Wednesday,Angelo,M,8,16
2026-09-09,Wednesday,Nuno,M,8,16
2026-09-10,Thursday,Lina,M,8,16
2026-09-10,Thursday,Nuno,M,8,16
2026-09-11,Friday,Angelo,M,8,16
2026-09-11,Friday,Nuno,M,8,16
2026-09-14,Monday,Lina,M,8,16
2026-09-14,Monday,Nuno,M,8,16
2026-09-15,Tuesday,Angelo,M,8,16
2026-09-15,Tuesday,Nuno,M,8,16
2026-09-16,Wednesday,Angelo,M,8,16
2026-09-16,Wednesday,Nuno,M,8,16
2026-09-17,Thursday,Angelo,M,8,16
2026-09-17,Thursday,Lina,M,8,16
2026-09-18,Friday,Angelo,M,8,16
2026-09-18,Friday,Nuno,M,8,16
2026-09-21,Monday,Angelo,M,8,16
2026-09-21,Monday,Lina,M,8,16
2026-09-22,Tuesday,Angelo,M,8,16
2026-09-22,Tuesday,Lina,M,8,16
2026-09-23,Wednesday,Angelo,M,8,16
2026-09-23,Wednesday,Lina,M,8,16
2026-09-24,Thursday,Angelo,M,8,16
2026-09-24,Thursday,Lina,M,8,16
2026-09-25,Friday,Angelo,M,8,16
2026-09-25,Friday,Lina,M,8,16
2026-09-28,Monday,Angelo,M,8,16
2026-09-28,Monday,Nuno,M,8,16
2026-09-29,Tuesday,Angelo,M,8,16
2026-09-29,Tuesday,Nuno,M,8,16
2026-09-30,Wednesday,Angelo,M,8,16
2026-09-30,Wednesday,Nuno,M,8,16
