date,weekday,person,compensatory_rest_earned
2026-09-01,Tuesday,Nuno,False
2026-09-02,Wednesday,Nuno,False
2026-09-03,Thursday,Nuno,False
2026-09-04,Friday,Nuno,False
2026-09-05,Saturday,Nuno,False
2026-09-06,Sunday,Nuno,True
2026-09-07,Monday,Angelo,False
2026-09-08,Tuesday,Nuno,False
2026-09-09,Wednesday,Angelo,False
2026-09-10,Thursday,Nuno,False
2026-09-11,Friday,Angelo,False
2026-09-12,Saturday,Angelo,False
2026-09-13,Sunday,Angelo,True
2026-09-14,Monday,Nuno,False
2026-09-15,Tuesday,Angelo,False
2026-09-16,Wednesday,Nuno,False
2026-09-17,Thursday,Angelo,False
2026-09-18,Friday,Angelo,False
2026-09-19,Saturday,Angelo,False
2026-09-20,Sunday,Angelo,True
2026-09-21,Monday,Angelo,False
2026-09-22,Tuesday,Angelo,False
2026-09-23,Wednesday,Angelo,False
2026-09-24,Thursday,Angelo,False
2026-09-25,Friday,Angelo,False
2026-09-26,Saturday,Angelo,False
2026-09-27,Sunday,Angelo,True
2026-09-28,Monday,Nuno,False
2026-09-29,Tuesday,Angelo,False
2026-09-30,Wednesday,Nuno,False
